GeneName,log2FoldChange,pvalue,padj
RAB31,1.1868723906738843,9.140994194603705e-7,3.380409968504409e-6
TIMELESS,1.1863500958900335,2.0611381285547941e-19,5.898167591087603e-18
REPS2,1.1863342113936055,1.8886869830326843e-7,7.912734353751312e-7
CACNA2D2,1.1860810288792685,4.306406673747778e-6,1.4050254553133657e-5
SDC1,1.1855460554144965,1.4953361084583325e-6,5.330981343280262e-6
TMEM63B,1.183823925411397,2.8598420058526475e-27,2.1482328817400944e-25
CBLC,1.1807716284510499,2.467215181895374e-6,8.433087086357633e-6
COL5A2,1.180246324781695,3.258325727695742e-7,1.3050717959503691e-6
NAT1,1.1774497424152806,0.002199167596962519,0.004244116230434538
DCAF13,1.1757605632830899,2.1810713484920624e-16,4.1281498062502316e-15
NRCAM,1.174215450658957,1.8555475885972548e-4,4.4826859458197506e-4
PPP1R14B,1.170897127378434,1.2168716722267733e-9,7.533947925602335e-9
CKAP2,1.170728429722326,5.658932220691903e-21,1.92263721915027e-19
UQCC3,1.1704198047296293,1.3880402270437663e-8,7.179132212493714e-8
VCAN,1.170048448770635,2.7084240967732806e-7,1.0987973709061221e-6
CISD3,1.1699375820581799,3.0197270279303916e-10,2.092193871107028e-9
TSEN54,1.1684655275634481,1.6080223938517587e-15,2.6565524599458177e-14
RABEP2,1.1683880200074954,3.6160308595564374e-10,2.4798956287186264e-9
NAT14,1.1679755533762335,7.3560277795439165e-9,3.995943903972585e-8
ANKRD50,1.1672895554742129,4.9795166215416676e-11,3.96669861774011e-10
MRPL14,1.165906959408645,6.893433602677083e-11,5.362489004024285e-10
GATA2,1.1626127648336861,2.1125239883069566e-6,7.311705596677965e-6
F2RL2,1.158034723925571,1.0383592973058409e-4,2.62656611828258e-4
ZNF469,1.1567504647875297,6.510243272245813e-10,4.261129275877705e-9
MICAL2,1.155661898450723,1.022605237042221e-11,9.137871146989735e-11
REEP1,1.1508162284092194,2.405799675386465e-6,8.234875001367341e-6
SYTL5,1.1497505996971007,0.0011863422174204585,0.0024228293161634895
RRS1,1.1485961310738808,2.327555162295384e-9,1.3704496561831059e-8
PLEKHF2,1.1483992970134347,4.350857304912122e-15,6.619223573849692e-14
FBXL19,1.1472107890584493,1.4844773110577734e-14,2.0928518102376086e-13
TRIB3,1.1471652674288315,2.9884055715175714e-10,2.0761213562240933e-9
SYTL2,1.1469516155474748,4.72180779224513e-6,1.5278308386879406e-5
CAPN13,1.1445418139235635,8.380880823367746e-5,2.1528765459973522e-4
ADAM19,1.1381541086119569,5.228506902229257e-10,3.4983550150442378e-9
SLC12A8,1.137861873742223,1.0595176035130821e-10,7.99000922178689e-10
NSD3,1.1376999869124764,6.221775820968635e-9,3.4184214010636245e-8
TRIM11,1.136293023543726,7.361333735736065e-14,9.276438252831228e-13
HMGA1,1.1354832961532457,7.459254148245942e-11,5.737658290830778e-10
RAB11FIP4,1.13259657245189,2.0167024027899233e-9,1.2028904220114833e-8
LMNB2,1.1319800034044047,3.3672702246822286e-14,4.4534117208142545e-13
NECAB3,1.1286104226513247,1.3184663780722644e-10,9.800560431592149e-10
SMC4,1.1253220813440674,3.716792653763103e-13,4.199407916090744e-12
SEPHS2,1.1221280286258992,3.885708531401198e-17,8.395750006611803e-16
PLXNA3,1.1163683584615072,6.159725663471643e-17,1.3016651044896668e-15
RASD2,1.1140907078336848,1.085657788161539e-5,3.280515283838214e-5
ROGDI,1.1116774798474989,2.8980216978971236e-11,2.412508971885787e-10
RHBDD3,1.1087445493526416,1.911437879611742e-14,2.6180164120323216e-13
FLVCR1,1.1078289925914306,1.763599376557321e-14,2.4398572669926103e-13
RAD21,1.1069501291551127,1.2260224624725874e-12,1.2553999975158601e-11
HRAS,1.106664813706977,6.411690260888961e-8,2.93005712254978e-7
GPSM2,1.1044852067052757,1.0198443167772717e-12,1.056659817436796e-11
METTL26,1.1033573933267788,7.398601330891534e-10,4.787183835566763e-9
PSMB3,1.1032909723463107,4.338066942993072e-11,3.508033108231992e-10
CXCL9,1.1023144276078958,0.0014490195720208965,0.0029068064229044272
LOXL1,1.1022444586736504,7.159066395694568e-10,4.654119228844034e-9
GADD45GIP1,1.1009541778996612,1.118256312035369e-6,4.0866721551577625e-6
CLEC11A,1.098232350968689,1.7779028968074034e-7,7.50418628305671e-7
TUFT1,1.0977895372551303,1.5780060095824647e-15,2.62500480659782e-14
ENTPD7,1.097470544710224,3.654448886421912e-17,7.93172145438977e-16
FAP,1.0974087323310635,5.409038719128778e-7,2.076988557366914e-6
AFF3,1.09568299939615,2.1590989536673908e-4,5.1283933892075e-4
WDR90,1.0938771430307526,1.2867588435860782e-11,1.1381956100349716e-10
TTLL12,1.09301470352679,1.5611753566685675e-13,1.8486085042325464e-12
LRRC75B,1.0916937103618247,6.046917107861449e-7,2.3035304275787573e-6
SIGIRR,1.0915729279016109,1.6134930317759595e-9,9.781674338288683e-9
SDSL,1.0900096032377555,3.375555021508352e-8,1.618751198593656e-7
RPUSD1,1.0895538200957615,4.446213637767286e-12,4.202982626904161e-11
RUSC1,1.0885511196278634,4.776115125364425e-16,8.410686250985155e-15
COL12A1,1.0872942751620294,1.3304948561666842e-6,4.785899005627635e-6
PGP,1.0859213480350143,1.3327020396393985e-11,1.1755899184525518e-10
SHROOM2,1.0838013407637348,1.8643000916187105e-10,1.3477628105950301e-9
TSPAN13,1.0818267610580212,1.7876515206970287e-8,9.070326845119752e-8
RAB25,1.0810111268712779,4.709403817138546e-7,1.8310116337156135e-6
CANT1,1.0808730344962636,9.896578915520274e-14,1.2246538773838794e-12
